label,count,mean,std,min,25%,50%,75%,max
Cookies and Similar Technologies,362.0,64.40055248618785,57.066781113175814,1.0,29.0,54.0,85.0,460.0
Data Retention,172.0,59.377906976744185,45.93501868718969,2.0,27.75,52.5,78.5,283.0
Data Security,285.0,61.8421052631579,40.941124626628245,2.0,34.0,53.0,78.0,258.0
Data Transfer,143.0,67.99300699300699,36.48026603395871,5.0,41.5,64.0,88.0,187.0
First Party Collection,1341.0,54.05816554809844,58.33143505638071,1.0,11.0,39.0,78.0,776.0
First Party Use,1107.0,46.08943089430894,52.54895372297399,1.0,12.0,30.0,63.0,539.0
Internal and Specific Audiences,229.0,71.34934497816595,39.33482299448748,3.0,41.0,67.0,99.0,189.0
Introductory/Generic,462.0,62.378787878787875,40.042350468791625,1.0,34.0,51.0,83.75,257.0
Legal Basis,177.0,51.38418079096045,45.251310610490926,2.0,18.0,36.0,74.0,243.0
Links,122.0,61.631147540983605,50.13489255563263,1.0,24.25,52.0,85.75,296.0
Other,5061.0,14.116380162023315,32.358388506476864,1.0,2.0,4.0,9.0,632.0
Policy Change,218.0,52.091743119266056,40.03708909171991,2.0,15.0,49.0,75.5,177.0
Privacy Contact Information,281.0,25.80782918149466,20.97954980245224,1.0,10.0,21.0,36.0,152.0
Third Party Sharing and Collection,1082.0,61.01478743068392,58.09110968489808,2.0,19.0,45.0,82.0,412.0
User Control,215.0,54.30232558139535,44.38559529095848,1.0,22.0,46.0,70.5,319.0
User Right,673.0,49.25854383358098,43.06216114271541,2.0,20.0,40.0,65.0,383.0
